Pathway_ID,resource_id,sequence_id,Pathway LOD
Course_2_Week_3,Course2_W3-S2_L4_Learning_Sentiment_Lexicons_14-45.txt,13,3
Course_2_Week_3,Course2_W3-S2_L5_Other_Sentiment_Tasks_11-01.txt,14,3
Course_2_Week_4,Course2_W4-S1-L1_Generative_vs._Discriminative_Models_7-49.txt,1,3
Course_2_Week_4,Course2_W4-S1-L2_Making_features_from_text_for_discriminative_NLP_models_18-11.txt,2,3
Course_2_Week_4,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34.txt,3,3
Course_2_Week_4,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04.txt,4,3
Course_2_Week_4,Course2_W4-S1-L5_Generative_vs._Discriminative_models-_The_problem_of_overcounting_evidence_12-15.txt,5,3
Course_2_Week_4,Course2_W4-S1-L6_Maximizing_the_Likelihood_10-29.txt,6,3
Course_2_Week_4,Course2_W4-S2-L1_Introduction_to_Information_Extraction_9-18.txt,7,3
Course_2_Week_4,Course2_W4-S2-L2_Evaluation_of_Named_Entity_Recognition_6-34.txt,8,3
Course_2_Week_4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05.txt,9,3
Course_2_Week_4,Course2_W4-S2-L4_Maximum_Entropy_Sequence_Models_13-01.txt,10,3
Course_2_Week_4,Course2_W4-S3-L1_What_is_Relation_Extraction_9-47.txt,11,3
Course_2_Week_4,Course2_W4-S3-L2_Using_Patterns_to_Extract_Relations_6-17.txt,12,3
Course_2_Week_4,Course2_W4-S3-L3_Supervised_Relation_Extraction_10-51.txt,13,3
Course_2_Week_4,Course2_W4-S3-L4_Semi-Supervised_and_Unsupervised_Relation_Extraction_9-53.txt,14,3
Course_2_Week_5,Course2_W5-S1-L1_The_Maximum_Entropy_Model_Presentation_12-14.txt,1,3
Course_2_Week_5,Course2_W5-S1-L2_Feature_Overlap-Feature_Interaction_12-51.txt,2,3
Course_2_Week_5,Course2_W5-S1-L3_Conditional_Maxent_Models_for_Classification_4-11.txt,3,3
Course_2_Week_5,Course2_W5-S1-L4_Smoothing-Regularization-Priors_for_Maxent_Models_29-24.txt,4,3
Course_2_Week_5,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19.txt,5,3
Course_2_Week_5,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04.txt,6,3
Course_2_Week_5,Course2_W5-S3-L1_Syntactic_Structure-_Constituency_vs_Dependency_8-46.txt,7,3
Course_2_Week_5,Course2_W5-S3-L2_Empirical-Data-Driven_Approach_to_Parsing_7-11.txt,8,3
Course_2_Week_5,Course2_W5-S3-L3_The_Exponential_Problem_in_Parsing_14-30.txt,9,3
Course_2_Week_6,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29.txt,1,4
Course_2_Week_6,Course2_W6-S1-L2_Grammar_Transforms_12-05.txt,2,4
Course_2_Week_6,Course2_W6-S1-L3_CKY_Parsing_23-25.txt,3,4
Course_2_Week_6,Course2_W6-S1-L4_CKY_Example_21-52.txt,4,4
Course_2_Week_6,Course2_W6-S1-L5_Constituency_Parser_Evaluation_9-45.txt,5,4
Course_2_Week_6,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03.txt,6,4
Course_2_Week_6,Course2_W6-S2-L2_Charniaks_Model_18-23.txt,7,4
Course_2_Week_6,Course2_W6-S2-L3_PCFG_Independence_Assumptions_9-44.txt,8,4
Course_2_Week_6,Course2_W6-S2-L4_The_Return_of_Unlexicalized_PCFGs_20-53.txt,9,4
Course_2_Week_6,Course2_W6-S2-L5_Latent_Variable_PCFGs_12-07.txt,10,4
Course_2_Week_6,Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25.txt,11,4
Course_2_Week_6,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05.txt,12,4
Course_2_Week_6,Course2_W6-S3-L3_Dependencies_Encode_Relational_Structure_7-20.txt,13,4
Course_2_Week_7,Course2_W7-S1-L1_Introduction_to_Information_Retrieval_9-16.txt,1,4
Course_2_Week_7,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59.txt,2,4
Course_2_Week_7,Course2_W7-S1-L3_The_Inverted_Index_10-42.txt,3,4
Course_2_Week_7,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43.txt,4,4
Course_2_Week_7,Course2_W7-S1-L5_Phrase_Queries_and_Positional_Indexes_19-45.txt,5,4
Course_2_Week_7,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27.txt,6,4
Course_2_Week_7,Course2_W7-S2-L2_Scoring_with_the_Jaccard_Coefficient_5-06.txt,7,4
Course_2_Week_7,Course2_W7-S2-L3_Term_Frequency_Weighting_5-59.txt,8,4
Course_2_Week_7,Course2_W7-S2-L4_Inverse_Document_Frequency_Weighting_10-16.txt,9,4
Course_2_Week_7,Course2_W7-S2-L5_TF-IDF_Weighting_3-42.txt,10,4
Course_2_Week_7,Course2_W7-S2-L6_The_Vector_Space_Model_16-22.txt,11,4
Course_2_Week_7,Course2_W7-S2-L7_Calculating_TF-IDF_Cosine_Scores_12-47.txt,12,4
Course_2_Week_7,Course2_W7-S2-L8_Evaluating_Search_Engines_9-02.txt,13,4
Course_2_Week_8,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50.txt,1,4
Course_2_Week_8,Course2_W8-S1-L2_WordNet_and_Other_Online_Thesauri_6-23.txt,2,4
Course_2_Week_8,Course2_W8-S1-L3_Word_Similarity_and_Thesaurus_Methods_16-17.txt,3,4
Course_2_Week_8,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14.txt,4,4
Course_2_Week_8,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15.txt,5,4
Course_2_Week_8,Course2_W8-S2-L1_What_is_Question_Answering_7-28.txt,6,4
Course_2_Week_8,Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47.txt,7,4
Course_2_Week_8,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38.txt,8,4
Course_2_Week_8,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25.txt,9,4
Course_2_Week_8,Course2_W8-S2-L5_Advanced-_Answering_Complex_Questions_4-52.txt,10,4
Course_2_Week_8,Course2_W8-S3-L1_Introduction_to_Summarization.txt,11,4
Course_2_Week_8,Course2_W8-S3-L2_Generating_Snippets.txt,12,4
Course_2_Week_8,Course2_W8-S3-L3_Evaluating_Summaries-_ROUGE.txt,13,4
Course_2_Week_8,Course2_W8-S3-L4_Summarizing_Multiple_Documents.txt,14,4
Course_3_Week_10,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54.txt,1,4
Course_3_Week_10,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38.txt,2,4
Course_3_Week_10,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15.txt,3,4
Course_3_Week_10,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36.txt,4,4
Course_3_Week_10,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39.txt,5,4
Course_3_Week_10,Course3_W10-S1-L6_-_Information_Retrieval_Toolkits_-_8_slides_02-38.txt,6,4
Course_3_Week_11,Course3_W11-S1-L1_-_Sentiment_Analysis_-_17_slides_08-49.txt,1,5
Course_3_Week_11,Course3_W11-S1-L2_-_Sentiment_Lexicons_-_12_slides_07-53.txt,2,5
Course_3_Week_11,Course3_W11-S1-L3_-_Semantics_-_15_slides_07-24.txt,3,5
Course_3_Week_11,Course3_W11-S1-L4_-_Representing_and_Understanding_Meaning_-_14_slides_09-22.txt,4,5
Course_3_Week_11,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37.txt,5,5
Course_3_Week_11,Course3_W11-S1-L6_-_Knowledge_Representation_-_15_slides_12-18.txt,6,5
Course_3_Week_11,Course3_W11-S1-L7_-_Inference_-_9_slides_06-45.txt,7,5
Course_3_Week_11,Course3_W11-S1-L8_-_Semantic_Parsing_-_24_slides_09-30.txt,8,5
Course_3_Week_12,Course3_W12-S1-L1_-_Discourse_Analysis_-_19_slides_14-56.txt,1,5
Course_3_Week_12,Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39.txt,2,5
Course_3_Week_12,Course3_W12-S1-L3_-_Dialogue_Systems_-_18_slides_09-22.txt,3,5
Course_3_Week_12,Course3_W12-S1-L4_-_Machine_Translation_-_21_slides_10-55.txt,4,5
Course_3_Week_12,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48.txt,5,5
Course_3_Week_12,Course3_W12-S1-L6_-__Machine_Translation_Noisy_Channel_Methods_-_22_slides_11-53.txt,6,5
Course_3_Week_12,Course3_W12-S1-L7_-_Machine_Translation_Advanced_Methods_-_13_slides_09-36.txt,7,5
Course_3_Week_12,Course3_W12-S1-L8_-_Text_Generation_-_11_slides_05-49.txt,8,5
Course_3_Week_1,Course3_W1-S1-L1_-_Introduction_-_11_slides_08-39.txt,1,4
Course_3_Week_1,Course3_W1-S1-L2_-_Examples_of_Text_-_14_slides_07-52.txt,2,4
Course_3_Week_1,Course3_W1-S1-L3_-_Funny_Sentences_-_10_slides_06-35.txt,3,4
Course_3_Week_1,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07.txt,4,4
Course_3_Week_1,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56.txt,5,4
Course_3_Week_1,Course3_W1-S1-L6_-_Background_-_11_slides_16-55.txt,6,4
Course_3_Week_1,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27.txt,7,4
Course_3_Week_2,Course3_W2-S1-L1_-_Parts_of_speech_-_17_slides_15-50.txt,1,5
Course_3_Week_2,Course3_W2-S1-L2_-_Morphology_and_the_Lexicon_-_20_slides_21-02.txt,2,5
Course_3_Week_2,Course3_W2-S1-L3_-_Text_Similarity-_Introduction_-_8_slides_07-27.txt,3,5
Course_3_Week_2,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05.txt,4,5
Course_3_Week_2,Course3_W2-S1-L5_-_Spelling_Similarity-_Edit_Distance_-_32_slides_21-23.txt,5,5
Course_3_Week_2,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51.txt,6,5
Course_3_Week_2,Course3_W2-S1-L7_-_Preprocessing_-_9_slides_11-48.txt,7,5
Course_3_Week_3,Course3_W3-S1-L1_-_Semantic_Similarity-_Synonymy_and_other_Semantic_Relations_-_23__slides_14-38.txt,1,5
Course_3_Week_3,Course3_W3-S1-L2_-_Thesaurus-based_Word_Similarity_Methods_-_11_slides_07-52.txt,2,5
Course_3_Week_3,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53.txt,3,5
Course_3_Week_3,Course3_W3-S1-L4_-_Dimensionality_Reduction_-_38_slides_23-50.txt,4,5
Course_3_Week_3,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45.txt,5,5
Course_3_Week_3,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33.txt,6,5
Course_3_Week_3,Course3_W3-S1-L7_-_NLP_Tasks_3-3_-_21_slides_16-21.txt,7,5
Course_3_Week_4,Course3_W4-S1-L1_-_Syntax_-_30_slides_31-02.txt,1,5
Course_3_Week_4,Course3_W4-S1-L2_-_Parsing_-_22_slides_17-38.txt,2,5
Course_3_Week_4,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05.txt,3,5
Course_3_Week_4,Course3_W4-S1-L4_-_Earley_Parser_-_20_slides_16-34.txt,4,5
Course_3_Week_4,Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55.txt,5,5
Course_3_Week_5,Course3_W5-S1-L1_-_Parsing_Introduction_and_recap-Parsing_noun_sequences_-_20_slides_15-19.txt,6,6
Course_3_Week_5,Course3_W5-S1-L2_-_Prepositional_phrase_attachment_1-3_-_15_slides_14-50.txt,7,6
Course_3_Week_5,Course3_W5-S1-L3_-_Prepositional_phrase_attachment_2-3_-_20_slides_17-22.txt,8,6
Course_3_Week_5,Course3_W5-S1-L4_-_Prepositional_phrase_attachment_3-3_-_18_slides_12-53.txt,9,6
Course_3_Week_5,Course3_W5-S1-L5_-_Statistical_Parsing_-_29_slides_12-52.txt,10,6
Course_3_Week_5,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06.txt,11,6
Course_3_Week_5,Course3_W5-S1-L7_-_Dependency_Parsing_-_28_slides_18-04.txt,12,6
Course_3_Week_5,Course3_W5-S1-L8_-_Alternative_Parsing_Formalisms_-_10_slides_10-03.txt,13,6
Course_3_Week_6,Course3_W6-S1-L1_-_Probabilities_-_17_slides_21-11.txt,1,6
Course_3_Week_6,Course3_W6-S1-L2_-_Bayes_Theorem_-_8_slides_10-48.txt,2,6
Course_3_Week_6,Course3_W6-S1-L3_-_Language_Modeling_1-3_-_18_slides_19-21.txt,3,6
Course_3_Week_6,Course3_W6-S1-L4_-_Language_Modeling_1-3_contd_-__5_slides_03-05.txt,4,6
Course_3_Week_6,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56.txt,5,6
Course_3_Week_6,Course3_W6-S1-L6_-_Language_Modeling_3-3_-_14_slides_15-06.txt,6,6
Course_3_Week_6,Course3_W6-S1-L7_-_Word_Sense_Disambiguation_-_15_slides_20-06.txt,7,6
Course_3_Week_7,Course3_W7-S1-L1_-_Noisy_Channel_Model_-_8_slides_08-33.txt,1,6
Course_3_Week_7,Course3_W7-S1-L2_-_Part_of_Speech_Tagging_-_15_slides_18-08.txt,2,6
Course_3_Week_7,Course3_W7-S1-L3_-_Hidden_Markov_Models_1-2_-_30_slides_24-41.txt,3,6
Course_3_Week_7,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28.txt,4,6
Course_3_Week_7,Course3_W7-S1-L5_-_Statistical_POS_Tagging_-_16_slides_09-28.txt,5,6
Course_3_Week_7,Course3_W7-S1-L6_-_Information_Extraction_-_10_slides_05-37.txt,6,6
Course_3_Week_7,Course3_W7-S1-L7_-_Relation_Extraction_-_28_slides_21-26.txt,7,6
Course_3_Week_8,Course3_W8-S1-L1_-_Question_Answering_-_21_slides_21-39.txt,1,6
Course_3_Week_8,Course3_W8-S1-L2_-_Evaluation_of_QA__System_Architecture_-_21_slides_21-59.txt,2,6
Course_3_Week_8,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03.txt,3,6
Course_3_Week_8,Course3_W8-S1-L4_-_Question_Answering_Systems_1-2_-_14_slides_14-23.txt,4,6
Course_3_Week_8,Course3_W8-S1-L5_-_Question_Answering_Systems_2-2_-_9_slides_10-55.txt,5,6
Course_3_Week_9,Course3_W9-S1-L1_-_Summarization_-_16_slides_11-50.txt,1,6
Course_3_Week_9,Course3_W9-S1-L2_-_Summarization_Techniques_1-3_-_26_slides_19-49.txt,2,6
Course_3_Week_9,Course3_W9-S1-L3_-_Summarization_Techniques_2-3_-_27_slides_20-34.txt,3,6
Course_3_Week_9,Course3_W9-S1-L4_-_Summarization_Techniques_3-3_-_17_slides_10-23.txt,4,6
Course_3_Week_9,Course3_W9-S1-L5_-_Summarization_Evaluation_-_24_slides_25-49.txt,5,6
Course_3_Week_9,Course3_W9-S1-L6_-_Sentence_Simplification_-_8_slides_05-30.txt,6,6
